#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
90.6%	453000	-904147.4148564776	302.75638789967377	302
90.8%	454000	-904255.6774754226	301.5323428593956	302
91.0%	455000	-904362.2602176378	299.1299647198215	302
91.2%	456000	-906080.0463140956	300.4024223960489	302
91.4%	457000	-905426.8019793951	300.30008886317995	302
91.6%	458000	-906265.4579417864	302.26745531490405	302
91.8%	459000	-905139.2016097945	300.144038296052	302
92.0%	460000	-905471.3375702058	302.5941018667028	302
92.2%	461000	-905655.0698875454	301.10898943035255	302
92.4%	462000	-905448.5103972489	301.2570052610168	302
92.6%	463000	-905249.8506180798	299.33228213801493	302
92.8%	464000	-906557.1782128699	300.8596473261988	302
93.0%	465000	-906212.1261397358	301.7574130862642	302
93.2%	466000	-904336.0182219548	299.56469253274497	302
93.4%	467000	-906532.6616376964	299.7596730687305	302
93.6%	468000	-906690.3738298803	302.4498598701014	302
93.8%	469000	-904979.3341240939	301.3888197077002	302
94.0%	470000	-905542.5590601028	300.61611053353676	302
94.2%	471000	-905004.7102980791	298.9544422769604	302
94.4%	472000	-905547.7806998678	302.39120334454816	302
94.6%	473000	-904823.3000098141	299.42559700707375	302
94.8%	474000	-904872.0971652009	301.3305694018515	302
95.0%	475000	-905647.9046697691	298.2493027221756	302
95.2%	476000	-905993.9296326265	298.98227756290186	302
95.4%	477000	-906390.6342582419	299.81311066097646	302
95.6%	478000	-906124.4475567611	301.19441353439663	302
95.8%	479000	-905157.3173569199	301.33509951668606	302
96.0%	480000	-906678.4276042948	299.6893633596439	302
96.2%	481000	-905814.7885038056	299.7309615368818	302
96.4%	482000	-906227.0936450632	301.6688902111341	302
96.6%	483000	-903899.5268392633	298.2966160088996	302
96.8%	484000	-907299.7998522376	300.9234909096214	302
97.0%	485000	-906884.380957434	299.945510679539	302
97.2%	486000	-906270.4401288833	301.79698361186576	302
97.4%	487000	-906730.8893311974	300.1367914095003	302
97.6%	488000	-905219.2678517466	299.5668540927637	302
97.8%	489000	-906873.4220449324	298.6244447263902	302
98.0%	490000	-906521.6552341785	300.55366076558846	302
98.2%	491000	-906976.0594286132	298.1133797313041	302
98.4%	492000	-907745.6475260672	299.04498408969323	302
98.6%	493000	-907341.7456366778	301.1269468656887	302
98.8%	494000	-906662.7408275991	299.7802910269809	302
99.0%	495000	-906270.5577287711	300.53073157077984	302
99.2%	496000	-907193.5608858936	300.7257379490807	302
99.4%	497000	-907247.7289413088	299.8357471186119	302
99.6%	498000	-907036.9002284501	299.6637882657801	302
99.8%	499000	-907117.8873202093	298.67689538610193	302
100.0%	500000	-907386.5467114178	299.07095060330244	302
