#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
4.3%	2140000	-931544.8336707707	300.1289047402895	474
4.3%	2150000	-929949.8108063545	298.2829158415417	474
4.3%	2160000	-931160.186577708	299.0395646419662	474
4.3%	2170000	-930371.9818769624	297.4115551268409	474
4.4%	2180000	-929723.0131700872	300.0574418394331	474
4.4%	2190000	-928884.3818204151	298.6706273914488	474
4.4%	2200000	-930272.4746943964	298.7544297169329	474
4.4%	2210000	-930193.6423451221	300.5717347882483	474
4.4%	2220000	-929116.0810115142	300.78916128044403	474
4.5%	2230000	-928168.4240562818	302.0222620700951	474
4.5%	2240000	-928402.687273107	299.6387988729002	474
4.5%	2250000	-930183.742404317	301.7695601964112	474
4.5%	2260000	-930201.384181011	300.0232303493451	474
4.5%	2270000	-932023.3852195749	298.8569536191465	474
4.6%	2280000	-930448.5179419275	301.21448823982803	474
4.6%	2290000	-930315.1626441935	299.60547549021663	474
4.6%	2300000	-929314.6510731815	299.97687755404945	474
4.6%	2310000	-930845.3622887423	299.96825898276796	474
4.6%	2320000	-931067.6306968038	299.9823624245137	474
4.7%	2330000	-929178.0180215361	300.52688725932876	474
4.7%	2340000	-932005.6547871777	299.6582213087264	474
4.7%	2350000	-929888.9341230947	300.45576565716823	474
4.7%	2360000	-931582.6237046598	299.76837127520196	474
4.7%	2370000	-930977.1273881351	300.50031876942415	474
4.8%	2380000	-930805.7338805809	300.26198628834	474
4.8%	2390000	-930022.9546890236	300.21029220050485	474
4.8%	2400000	-931355.1522862487	299.75234284656574	474
4.8%	2410000	-931700.5234368593	299.77133833242294	474
4.8%	2420000	-931610.7814316	300.0313359810909	474
4.9%	2430000	-929080.7441964652	300.5340635265207	474
4.9%	2440000	-930006.7594678598	302.28612421154867	474
4.9%	2450000	-929884.7573886346	301.35111581309445	474
4.9%	2460000	-930283.5649109413	299.9867501063049	474
4.9%	2470000	-931553.3880169224	301.081243811468	474
5.0%	2480000	-929687.5906885006	299.7382132586965	474
5.0%	2490000	-929505.1261963556	299.251055566184	474
5.0%	2500000	-930573.6166142388	299.2659759006131	474
5.0%	2510000	-930354.6195823071	300.52542250044894	474
5.0%	2520000	-930414.7139492803	299.810993813487	474
5.1%	2530000	-929876.5555655756	298.5438436009246	474
5.1%	2540000	-931074.5748301418	300.9186106951953	474
5.1%	2550000	-931432.3305175495	300.9806300066118	474
5.1%	2560000	-930275.7255929313	299.36945147777874	474
5.1%	2570000	-930629.8723290684	301.3469760120997	474
5.2%	2580000	-929662.3168879147	299.79576329323083	474
5.2%	2590000	-929199.4796422776	298.70951854520445	474
5.2%	2600000	-929686.0955195841	299.8679600630634	474
5.2%	2610000	-930063.2822932643	298.76035480959206	474
5.2%	2620000	-930493.6031849715	300.2866747020766	474
5.3%	2630000	-929941.1332395859	298.3805423121652	474
5.3%	2640000	-929209.8965718565	299.73934213587563	474
5.3%	2650000	-929576.2185451817	298.36424758155266	474
5.3%	2660000	-929229.8710163035	302.17311505914165	474
5.3%	2670000	-929338.676877975	301.7308315465062	474
5.4%	2680000	-929144.177294245	298.8100006163096	474
5.4%	2690000	-931617.0136917424	302.96399534449415	474
5.4%	2700000	-929585.4608535636	301.2097266842077	474
5.4%	2710000	-930679.8479719334	299.69691837901775	474
5.4%	2720000	-929573.8872414837	300.2294077438185	474
5.5%	2730000	-930867.3529769559	299.3216186005862	474
5.5%	2740000	-929849.3054425451	301.4861653189688	474
5.5%	2750000	-929548.5581233446	301.9112468029839	474
5.5%	2760000	-931232.7876208783	300.84662602560195	474
5.5%	2770000	-929062.3937282409	301.40714282596565	474
5.6%	2780000	-930721.3000350199	300.4252168541491	474
5.6%	2790000	-930878.6130656917	301.2829150850071	474
5.6%	2800000	-931156.194042569	300.93307528097597	474
5.6%	2810000	-930146.5924462657	301.9161257134081	474
5.6%	2820000	-929480.6029802524	301.391928019989	474
5.7%	2830000	-929167.5137458458	299.585207848612	474
5.7%	2840000	-930530.553637147	301.0207660765836	474
5.7%	2850000	-930902.694067887	299.8814470575176	474
5.7%	2860000	-928932.4892118378	299.1042439580834	474
5.7%	2870000	-930767.4719537566	300.7794971117161	474
5.8%	2880000	-930186.905774104	301.05283688717236	474
5.8%	2890000	-929629.2586522368	299.113947117777	474
5.8%	2900000	-931612.1798856524	299.45287945593236	474
5.8%	2910000	-931106.3604761423	301.58955957811884	474
5.8%	2920000	-929328.3755678325	299.22008941142894	474
5.9%	2930000	-932156.2560719224	300.1290425405233	474
5.9%	2940000	-931792.9468653859	298.4425791168451	474
