#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
63.8%	319000	-1326208.173077533	300.30079368778917	225
64.0%	320000	-1325803.9424763676	299.59553475166416	225
64.2%	321000	-1326926.9583870461	300.49387931996034	225
64.4%	322000	-1327705.1598835196	302.4955205871682	225
64.6%	323000	-1325758.9139774498	300.00784493241343	225
64.8%	324000	-1326327.47649029	303.07258731979937	225
65.0%	325000	-1326154.0580372782	300.5090741979641	225
65.2%	326000	-1327088.6700990014	300.400211777114	225
65.4%	327000	-1327152.8992006648	299.9104127297255	225
65.6%	328000	-1326912.6773161395	298.3805256946448	225
65.8%	329000	-1325806.25634602	300.7667481444958	225
66.0%	330000	-1326919.3911932204	299.23718178132674	225
66.2%	331000	-1327025.1718846206	299.68471312634983	225
66.4%	332000	-1327324.0784608144	299.27249715697593	225
66.6%	333000	-1326801.0314363977	299.9739536722587	225
66.8%	334000	-1328377.9515480297	299.7488256673151	225
67.0%	335000	-1329350.6157974442	297.966647517801	225
67.2%	336000	-1327861.1192243826	299.8018660595578	225
67.4%	337000	-1327121.990813245	299.6952412600924	225
67.6%	338000	-1327181.3349938188	301.08621362014225	225
67.8%	339000	-1326383.030196514	301.7509268100809	225
68.0%	340000	-1326403.320889472	302.17640301154523	225
68.2%	341000	-1326895.7917145481	298.0948298618477	225
68.4%	342000	-1327881.2535068607	300.04419183322165	225
68.6%	343000	-1328223.2620891854	302.14774336577557	225
68.8%	344000	-1328744.5193594294	300.1923365914248	225
69.0%	345000	-1328182.5925162053	300.231476641245	225
69.2%	346000	-1326443.033074283	298.87309496338344	225
69.4%	347000	-1327153.26695815	301.56290751556804	225
69.6%	348000	-1326307.3053465188	300.88965129782105	225
69.8%	349000	-1325982.0245445063	300.6753628064329	225
70.0%	350000	-1325358.2619772358	299.19999464774065	225
70.2%	351000	-1324408.6723219547	299.76472309232423	225
70.4%	352000	-1326570.2101775222	302.104176964396	225
70.6%	353000	-1327666.8571547475	301.4018130043675	225
70.8%	354000	-1327580.8498196062	301.16519757865933	225
71.0%	355000	-1328276.1665930152	300.14961269330007	225
71.2%	356000	-1325672.2257864242	299.80343620217616	225
71.4%	357000	-1326462.0942627285	300.01842301700634	225
71.6%	358000	-1328101.0031479653	300.92920408263205	225
71.8%	359000	-1328238.467651735	301.7492337646662	225
72.0%	360000	-1327849.000625724	302.75546237504926	225
72.2%	361000	-1327429.0536841918	298.63362276505666	225
72.4%	362000	-1327218.0973551674	299.0339113446461	225
72.6%	363000	-1325927.3649052717	301.53648936545846	225
72.8%	364000	-1328057.4391770316	301.3380877531885	225
73.0%	365000	-1327116.7899286216	299.97789742745414	225
73.2%	366000	-1325615.8050821433	299.71660085715524	225
73.4%	367000	-1327402.2466139914	301.53720070061667	225
73.6%	368000	-1324854.6155062504	296.9688816918886	225
73.8%	369000	-1326317.8924219217	301.06200159756054	225
74.0%	370000	-1327137.122685372	301.2241267433486	225
74.2%	371000	-1325867.6503407266	301.01546012433226	225
74.4%	372000	-1326655.232289276	301.6703299663588	225
74.6%	373000	-1326620.2908621375	300.8865845438114	225
74.8%	374000	-1328564.983633861	301.63800610913967	225
75.0%	375000	-1325268.5645180335	299.7098905094901	225
75.2%	376000	-1326190.9781922773	299.7247147224418	225
75.4%	377000	-1326137.8548377296	301.1834921692104	225
75.6%	378000	-1325615.4217719976	301.3999272253736	225
75.8%	379000	-1325556.8063172307	300.0799058653193	225
76.0%	380000	-1328370.7279768148	301.96720332026126	225
76.2%	381000	-1328951.210860191	301.0104006215452	225
76.4%	382000	-1328195.0461916002	300.9441720190951	225
76.6%	383000	-1326297.313003568	300.28900888457224	225
76.8%	384000	-1326460.5085158572	300.1036166514966	225
77.0%	385000	-1326554.999191735	299.9040299788035	225
77.2%	386000	-1327180.4293676578	300.0244374952594	225
77.4%	387000	-1327450.7100236313	298.88603063315287	225
77.6%	388000	-1326287.2817271305	299.7961372575506	225
77.8%	389000	-1326233.3344558552	300.36453957285505	225
78.0%	390000	-1326537.05132485	299.50404848943947	225
78.2%	391000	-1325252.5303420238	299.32558623356874	224
78.4%	392000	-1326806.1889574872	299.40739855787183	225
78.6%	393000	-1326640.4493388366	301.6995761702674	225
78.8%	394000	-1326559.414120499	299.5595821606103	225
79.0%	395000	-1325634.3260541437	300.1368194028164	225
79.2%	396000	-1326960.5178836854	301.0270452771477	225
79.4%	397000	-1327824.770456804	299.1914861127794	225
79.6%	398000	-1327085.4315950992	298.7184936815381	225
79.8%	399000	-1327774.5294263614	301.67390709561704	225
80.0%	400000	-1326049.3219460929	298.0917383363093	225
80.2%	401000	-1327472.4060983025	301.48347571619666	224
80.4%	402000	-1327255.520075474	301.5750787064506	225
80.6%	403000	-1327450.3904367965	300.729898140398	225
80.8%	404000	-1326620.682269712	300.9796720390171	225
81.0%	405000	-1325011.2197492216	299.60169385129495	225
81.2%	406000	-1327275.8824871723	299.8652247649524	225
81.4%	407000	-1326929.0908666058	300.252674921982	225
81.6%	408000	-1327661.3783191312	300.8351663501985	225
81.8%	409000	-1326625.9058913365	299.97438386023987	225
82.0%	410000	-1326632.2589267837	299.38248206033813	225
82.2%	411000	-1329032.6723587755	302.1412894662982	224
82.4%	412000	-1327753.846799844	298.20186951974375	225
82.6%	413000	-1328776.2235333687	298.73847937143444	225
82.8%	414000	-1328469.355221604	300.5922930835152	225
83.0%	415000	-1327509.835617057	299.49384615992636	225
83.2%	416000	-1326831.0676702838	298.7501766815124	225
83.4%	417000	-1327434.470818814	299.6241361122234	225
83.6%	418000	-1328347.9459015504	301.02713473189397	225
83.8%	419000	-1328317.7346329577	300.2541140033626	225
84.0%	420000	-1326458.589957851	299.11179631111054	225
84.2%	421000	-1325559.5737114372	301.24798501088844	224
84.4%	422000	-1327118.2039411878	301.0461999090627	225
84.6%	423000	-1325400.4948884426	300.9042201308448	225
84.8%	424000	-1326351.731879157	299.85108493944983	225
85.0%	425000	-1325700.866647521	300.2403664727017	225
85.2%	426000	-1326008.6337268492	299.2415547678937	225
85.4%	427000	-1326282.2827497246	300.09689707471784	225
85.6%	428000	-1326609.0702207675	301.55199328259056	225
85.8%	429000	-1327737.312435614	300.4312876826275	225
