#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
4.4%	443000	-885750.6426604204	299.77873164813	508
4.4%	444000	-884568.71952233	297.93372379768965	508
4.5%	445000	-885371.3965580962	299.072819066317	508
4.5%	446000	-885487.3963771835	299.46037739925055	508
4.5%	447000	-884732.2157128607	301.38133347633044	508
4.5%	448000	-885274.8949971534	300.61619393640314	508
4.5%	449000	-883922.0019769226	299.6432742425968	508
4.5%	450000	-885591.8404541402	299.6222653641116	508
4.5%	451000	-885077.7907492146	300.00870176161254	508
4.5%	452000	-884500.9530160003	301.8166843682932	508
4.5%	453000	-883593.4753003935	298.20945414907976	508
4.5%	454000	-884675.4168039425	302.1606444273039	508
4.5%	455000	-884996.6515355986	301.1596199309814	508
4.6%	456000	-883972.2230060077	301.54184067196366	508
4.6%	457000	-882904.8188106022	297.6795617452991	508
4.6%	458000	-884002.035819992	299.58359635510607	508
4.6%	459000	-885213.8153167577	300.6063994673237	508
4.6%	460000	-884306.5066568884	300.8521232545163	507
4.6%	461000	-885315.452895382	300.84026562269486	507
4.6%	462000	-885158.0522506582	300.6921236906772	508
4.6%	463000	-885102.8594026859	299.75471396750044	508
4.6%	464000	-885705.192401207	301.0960145087514	508
4.7%	465000	-884956.9270851593	300.05622535286483	508
4.7%	466000	-885361.8802440963	299.3624180059767	508
4.7%	467000	-884743.5388559299	298.6518061252801	508
4.7%	468000	-883666.3368118526	298.5878847525585	508
4.7%	469000	-884197.0982181928	299.2737683993616	508
4.7%	470000	-884736.9290855443	301.99839028751944	507
4.7%	471000	-885013.6604298991	299.626648139723	507
4.7%	472000	-884165.1168343439	301.34813768066937	507
4.7%	473000	-883827.3992832475	300.251559232922	507
4.7%	474000	-884255.0048319721	299.5069532219136	507
4.8%	475000	-885862.3023747425	298.8198035917924	508
4.8%	476000	-886315.5105423094	300.3716630854874	508
4.8%	477000	-885214.9869097625	299.3139311316882	508
4.8%	478000	-884405.8616808299	297.370619031167	508
4.8%	479000	-885117.1859463551	301.62196966822444	508
4.8%	480000	-883505.9418462291	297.53883686360194	507
4.8%	481000	-886050.2440125854	301.5816341685162	507
4.8%	482000	-886675.6618686868	300.9586481438379	507
4.8%	483000	-884041.1532309479	300.1282110911257	507
4.8%	484000	-884036.1811527908	299.23314457739593	508
4.8%	485000	-884663.0886884066	301.9665458933819	508
4.9%	486000	-883804.9858386088	300.01182555635086	508
4.9%	487000	-884259.5459992811	300.66992525876867	508
4.9%	488000	-885214.3508359939	301.28423062814386	508
4.9%	489000	-884729.8820049162	301.20232188814515	508
4.9%	490000	-884760.3492506281	299.86413781744614	507
4.9%	491000	-884779.39817975	299.86697820438366	507
4.9%	492000	-884126.0186584634	300.681300886502	507
4.9%	493000	-885106.6835200149	300.8733017706206	507
4.9%	494000	-884334.0426218593	297.6572396651341	507
5.0%	495000	-883030.225355206	299.89741236187456	508
5.0%	496000	-884253.6764514269	301.2941128376942	508
5.0%	497000	-885081.2148384638	296.3711134576477	508
5.0%	498000	-884439.7205194598	302.29295607641785	508
5.0%	499000	-884802.7212546966	299.7928607524308	508
5.0%	500000	-885334.5102295992	301.17851372712636	507
5.0%	501000	-884814.2404276943	298.08324516897113	507
5.0%	502000	-884179.9972219877	298.78899364109344	507
5.0%	503000	-884770.5208432786	299.92038422156014	507
5.0%	504000	-885364.5058022258	303.85748503332144	507
5.0%	505000	-884427.645018179	300.88051746702257	508
5.1%	506000	-884233.055629693	299.3366818759507	508
5.1%	507000	-883780.4827558119	301.1695114198019	508
5.1%	508000	-884177.201742962	301.7361756324539	508
5.1%	509000	-885082.632894956	301.828804215268	508
5.1%	510000	-884713.7154649319	303.52363842083565	507
5.1%	511000	-884705.1625893903	300.76887710868203	507
